dataset,Nu,K,smse,nlpd,objective,training(s),seed,valid
kin40k,750,2,0.0728,-0.6174,-7641.69,3097.5,1112,1
kin40k,750,2,0.0727,-0.5480,-7147.30,3225.2,1113,1
kin40k,750,2,0.0658,-0.5512,-6847.47,2186.2,1114,1
kin40k,750,2,0.0992,-0.6032,-7787.56,2138.7,1115,1
kin40k,750,2,0.0609,-0.5228,-6567.97,2147.1,1116,1
pumadyn32nm,750,2,0.0523,0.1299,-3302.15,4323.7,1112,1
pumadyn32nm,750,2,0.0913,0.3147,-1426.81,4585.9,1113,1
pumadyn32nm,750,2,0.0508,0.1365,-3497.11,3072.3,1114,1
pumadyn32nm,750,2,0.0573,0.1257,-3060.76,3195.6,1115,1
pumadyn32nm,750,2,0.0506,0.1379,-3761.77,3228.3,1116,1
pol,750,2,0.0259,2.5474,22659.98,5238.2,1112,1
pol,750,2,0.0534,2.2303,18775.87,4637.5,1113,1
pol,750,2,0.0883,2.5620,22016.32,3692.5,1114,1
pol,750,2,0.0537,2.2654,19612.98,3871.5,1115,1
pol,750,2,0.0569,2.2164,18939.28,3669.1,1116,1
