dataset,Nu,K,smse,nlpd,objective,training(s),seed,valid,
kin40k,500,3,0.0813,-0.3099,-1729.05,2458.8,1112,1,
kin40k,500,3,0.0848,-0.2959,-1765.32,3188.8,1113,1,
kin40k,500,3,0.073,-0.2978,-1809.22,3049.7,1114,1,
kin40k,500,3,0.0772,-0.2903,-1829.1,3384.4,1115,1,x
kin40k,500,3,0.0728,-0.3233,-1754.36,2977.4,1116,1,
kin40k,750,2,0.0625,-0.5518,-3998.47,5123.8,1112,1,x
kin40k,750,2,0.0605,-0.5555,-3962.5,5337.2,1113,1,
kin40k,750,2,0.0649,-0.5648,-3931.59,5297,1114,1,
kin40k,750,2,0.0678,-0.5702,-3939.24,5137,1115,1,
kin40k,750,2,0.0653,-0.551,-3939.49,5284.8,1116,1,
pumadyn32nm,500,3,0.055,0.0667,-1453.9,3898.9,1112,1,
pumadyn32nm,500,3,0.0486,-0.0894,-912.22,5371,1113,1,
pumadyn32nm,500,3,0.0501,-0.0001,-1346.16,5612.4,1114,1,
pumadyn32nm,500,3,0.0528,0.0469,-1814.42,5093.2,1115,1,x
pumadyn32nm,500,3,0.0524,0.0423,-1814.18,4992.8,1116,1,
pumadyn32nm,750,2,0.0451,-0.1518,-823.53,7534.3,1112,1,
pumadyn32nm,750,2,0.0447,-0.1534,-858.25,7582.4,1113,1,
pumadyn32nm,750,2,0.0524,0.0457,-1366.91,7627.6,1114,1,x
pumadyn32nm,750,2,0.0457,-0.138,-863.97,8006.3,1115,1,
pumadyn32nm,750,2,0.0521,0.0334,-1380.6,7737.7,1116,1,
myelevators,500,3,0.1566,-4.6117,-39588.99,3020.2,1112,1,
myelevators,500,3,0.1643,-4.5895,-39614.86,3926.2,1113,1,
myelevators,500,3,0.1616,-4.594,-39466.58,4258,1114,1,
myelevators,500,3,0.1527,-4.6153,-39764.77,3750.1,1115,1,x
myelevators,500,3,0.1646,-4.5725,-39727.57,4059.6,1116,1,
myelevators,750,2,0.1418,-4.6572,-40438.59,5939.3,1112,1,
myelevators,750,2,0.1471,-4.6352,-40475.68,5651.2,1113,1,
myelevators,750,2,0.1469,-4.6354,-40382.27,6037.9,1114,1,
myelevators,750,2,0.1471,-4.6527,-40634.22,5936.6,1115,1,
myelevators,750,2,0.1477,-4.646,-40648.26,6136.4,1116,1,x
pol,500,3,0.0293,2.522,26095.71,5954.4,1112,1,
pol,500,3,0.0266,2.5049,25814.75,6057.5,1113,1,
pol,500,3,0.0294,2.5759,26165.44,6176.9,1114,1,
pol,500,3,0.0315,2.4613,25752.68,5570.2,1115,1,
pol,500,3,0.0282,2.5129,25719.7,6007.2,1116,1,x
pol,750,2,0.0254,2.3075,24293.16,8526,1112,1,
pol,750,2,0.0364,2.2944,23625.88,8659.9,1113,1,
pol,750,2,0.028,2.3313,24109.53,8512.1,1114,1,
pol,750,2,0.0384,2.2118,23398.59,8644.9,1115,1,x
pol,750,2,0.0197,2.3513,24198.93,8302.8,1116,1,
