dataset,Nu,K,smse,nlpd,objective,training(s),seed,valid
kin40k,1500,1,0.0541,-0.9928,-7829.28,11356.9,1111,1
kin40k,1500,1,0.0549,-0.9942,-7838.93,11562.9,1112,1
kin40k,1500,1,0.0573,-0.9928,-7803.32,10135.2,1113,1
kin40k,1500,1,0.0566,-0.9925,-7839.77,9997.5,1114,1
kin40k,1500,1,0.0606,-0.9785,-7647.12,10024.2,1115,1
pumadyn32nm,1500,1,0.0441,-0.1630,-1005.42,15170.2,1111,1
pumadyn32nm,1500,1,0.0441,-0.1630,-1005.30,15238.0,1112,1
pumadyn32nm,1500,1,0.0441,-0.1630,-1005.30,12813.4,1113,1
pumadyn32nm,1500,1,0.0441,-0.1631,-1005.32,12830.2,1114,1
pumadyn32nm,1500,1,0.0441,-0.1631,-1005.37,14840.9,1115,1
myelevators,1500,1,0.1306,-4.6737,-40812.88,13516.2,1111,1
myelevators,1500,1,0.1307,-4.6881,-41059.03,12896.1,1112,1
myelevators,1500,1,0.1323,-4.7199,-41788.53,10986.2,1113,1
myelevators,1500,1,0.1312,-4.6741,-40857.42,11028.5,1114,1
myelevators,1500,1,0.1316,-4.6932,-41215.48,14504.0,1115,1
pol,1500,1,0.0238,1.9788,20762.89,17623.3,1111,1
pol,1500,1,0.0259,3.2974,20077.06,17612.4,1112,1
pol,1500,1,0.0253,2.0112,21069.85,14965.2,1113,1
pol,1500,1,0.0228,2.0038,21024.27,15035.9,1114,1
pol,1500,1,0.0185,2.0214,21444.84,22611.7,1115,1
