dataset,Nu,K,smse,nlpd,objective,training(s),seed,valid
kin40k,1500,2,0.0383,-0.3605,-1524.80,208.4,23,1
kin40k,1500,2,0.0384,-0.5148,-3375.13,335.0,33,1
kin40k,1500,2,0.0465,-0.3028,-1285.11,327.2,43,1
kin40k,1500,2,0.0390,-0.5049,-3282.54,264.6,53,1
kin40k,1500,2,0.0415,-0.5022,-3299.51,342.9,63,1
kin40k,1500,3,0.0466,-0.2831,-1064.73,235.4,23,1
kin40k,1500,3,0.0482,-0.3044,-1205.02,236.0,33,1
kin40k,1500,3,0.0343,-0.5925,-4045.58,372.9,43,1
kin40k,1500,3,0.0443,-0.4273,-2537.80,295.6,53,1
kin40k,1500,3,0.0610,-0.1384,287.72,137.0,63,1
kin40k,1500,3,0.0546,-0.2544,-937.60,145.6,1310,1
kin40k,1500,3,0.0442,-0.4192,-2699.84,312.3,1320,1
pumadyn32nm,1500,2,0.0478,-0.1051,-856.66,1299.0,23,1
pumadyn32nm,1500,2,0.0478,-0.1051,-856.66,1296.6,33,1
pumadyn32nm,1500,2,0.0478,-0.1051,-856.66,1294.0,43,1
pumadyn32nm,1500,2,0.0478,-0.1051,-856.66,1294.1,53,1
pumadyn32nm,1500,2,0.0478,-0.1051,-856.66,1263.4,63,1
pumadyn32nm,1500,3,0.1019,0.0351,234.07,935.7,23,1
pumadyn32nm,1500,3,0.1019,0.0351,234.07,938.7,33,1
pumadyn32nm,1500,3,0.1019,0.0351,234.07,941.0,43,1
pumadyn32nm,1500,3,0.1019,0.0351,234.07,941.7,53,1
pumadyn32nm,1500,3,0.1019,0.0351,234.07,943.3,63,1
pumadyn32nm,1500,3,0.1019,0.0351,234.07,932.2,1310,1
pumadyn32nm,1500,3,0.1019,0.0351,234.07,941.8,1320,1
elevators2,1500,2,0.1388,-4.6332,-40292.48,2414.4,23,1
elevators2,1500,2,0.1388,-4.6332,-40292.48,2419.0,33,1
elevators2,1500,2,0.1388,-4.6332,-40292.48,2422.8,43,1
elevators2,1500,2,0.1388,-4.6332,-40292.48,2415.4,53,1
elevators2,1500,2,0.1388,-4.6332,-40292.48,2401.0,63,1
elevators2,1500,3,0.1415,-4.5196,-39027.94,675.7,23,1
elevators2,1500,3,0.1415,-4.5196,-39027.94,672.2,33,1
elevators2,1500,3,0.1415,-4.5196,-39027.94,674.1,43,1
elevators2,1500,3,0.1415,-4.5196,-39027.94,669.1,53,1
elevators2,1500,3,0.1415,-4.5196,-39027.94,677.5,63,1
elevators2,1500,3,0.1415,-4.5196,-39027.94,675.4,1310,1
elevators2,1500,3,0.1415,-4.5196,-39027.94,689.2,1320,1
pol,1500,2,0.0170,2.3990,24634.39,1067.3,23,1
pol,1500,2,0.0170,2.3990,24634.39,1058.1,33,1
pol,1500,2,0.0170,2.3990,24634.39,1069.1,43,1
pol,1500,2,0.0170,2.3990,24634.39,1058.6,53,1
pol,1500,2,0.0170,2.3990,24634.39,1057.9,63,1
pol,1500,3,1.4898,-12.5796,-79793.41,4158.4,23,0
pol,1500,3,1.4898,-12.5796,-79793.41,4160.7,33,0
pol,1500,3,1.4898,-12.5796,-79793.41,4185.6,43,0
pol,1500,3,1.4898,-12.5796,-79793.41,4192.8,53,0
pol,1500,3,1.4898,-12.5796,-79793.41,4192.3,63,0
pol,1500,3,1.4898,-12.5796,-79793.41,4171.2,1310,0
