dataset,Nu,K,smse,nlpd,objective,training(s),seed,valid,
kin40k,500,3,0.0443,-0.6312,-4272.24,553.7,1112,1,
kin40k,500,3,0.0522,-0.642,-4284.36,730.3,1113,1,
kin40k,500,3,0.0505,-0.5991,-4334.6,845.7,1114,1,x
kin40k,500,3,0.0559,-0.5527,-3641.7,614.8,1115,1,
kin40k,500,3,0.0555,-0.5878,-4078.65,923.2,1116,1,
kin40k,750,2,0.0389,-0.7399,-5253.88,1006.3,1112,1,
kin40k,750,2,0.0524,-0.7519,-5382.61,1399.2,1113,1,x
kin40k,750,2,0.0452,-0.6953,-4876.34,1140.1,1114,1,
kin40k,750,2,0.0545,-0.7089,-4880.71,1053.5,1115,1,
kin40k,750,2,0.0562,-0.7183,-5156.87,1215.8,1116,1,
pumadyn32nm,500,3,0.3654,0.5989,3982.02,960.2,1112,1,
pumadyn32nm,500,3,0.0532,0.0078,-1320.71,1702.2,1113,1,x
pumadyn32nm,500,3,0.0638,0.0386,-196.55,2202.2,1114,1,
pumadyn32nm,500,3,0.0469,-0.1316,-588.35,643.1,1115,1,
pumadyn32nm,500,3,0.0523,-0.0201,-1053.2,1315.3,1116,1,
pumadyn32nm,750,2,0.0526,0.0236,-1357.38,2071,1112,1,x
pumadyn32nm,750,2,0.0447,-0.1574,-791.25,1908.8,1113,1,
pumadyn32nm,750,2,0.0735,0.1109,166.39,2880.5,1114,1,
pumadyn32nm,750,2,0.054,0.0148,-1307.71,2138,1115,1,
pumadyn32nm,750,2,0.0449,-0.152,-805.14,1367,1116,1,
myelevators,500,3,0.676,-4.121,-35053.84,239.4,1112,1,
myelevators,500,3,0.2971,-4.3327,-36808.23,275.9,1113,1,
myelevators,500,3,0.5921,-4.2192,-36079.63,252.2,1114,1,
myelevators,500,3,1.0008,-3.9923,-33875.86,189.1,1115,1,
myelevators,500,3,0.2302,-4.3879,-37525.72,384.6,1116,1,
myelevators,750,2,0.1761,-4.3911,-37800.56,305.9,1112,1,
myelevators,750,2,0.1764,-4.4517,-38255.57,423.4,1113,1,
myelevators,750,2,0.1782,-4.4707,-38374.36,414.5,1114,1,
myelevators,750,2,0.1804,-4.427,-38065,314.7,1115,1,
myelevators,750,2,0.1725,-4.4207,-38016.34,325.7,1116,1,
pol,500,3,0.0182,2.292,23560.24,4178.8,1112,1,
pol,500,3,0.0286,1.9617,20221.84,4200.4,1113,1,x
pol,500,3,0.0205,2.1508,23074.81,4152.3,1114,1,
pol,500,3,0.0184,2.3475,24446.77,4149.6,1115,1,
pol,500,3,0.0149,2.2179,22165.82,4145.1,1116,1,
pol,750,2,0.0149,2.38,25056.93,6496.3,1112,1,
pol,750,2,0.0454,1906498335.5572,15684.73,6488,1113,1,
pol,750,2,0.0202,2.2634,23868.21,6497.2,1114,1,
pol,750,2,0.0269,3.2083,30780.05,1769.7,1115,1,
pol,750,2,0.0194,2.0798,21369.91,4279.6,1116,1,x
