dataset,Nu,K,smse,nlpd,training(s),seed,valid
kin40k,50,4,0.4666,0.8837,136.3,1111,1
kin40k,50,4,0.4474,0.8736,228.5,1112,1
kin40k,50,4,0.4318,0.8610,275.8,1113,1
kin40k,50,4,0.3732,0.7512,279.2,1114,1
kin40k,50,4,0.3513,0.9306,269.7,1115,1
kin40k,100,4,0.5596,0.9618,252.3,1111,1
kin40k,100,4,0.4038,0.7118,476.2,1112,1
kin40k,100,4,0.2741,0.4709,535.1,1113,1
kin40k,100,4,0.5511,0.8053,521.4,1114,1
kin40k,100,4,0.3848,0.7333,505.2,1115,1
kin40k,200,4,0.3827,0.5289,535.0,1111,1
kin40k,200,4,0.4804,0.7569,1004.7,1112,1
kin40k,200,4,0.1916,0.1941,1118.1,1113,1
kin40k,200,4,0.2859,0.5277,1005.7,1114,1
kin40k,200,4,0.4282,0.6020,1038.8,1115,1
kin40k,300,4,0.7388,0.6987,921.9,1111,1
kin40k,300,4,0.2833,0.5133,1396.7,1112,1
kin40k,300,4,0.2638,0.2717,1823.9,1113,1
kin40k,300,4,0.5138,1.5055,1773.8,1114,1
kin40k,300,4,0.5490,1.0549,1706.1,1115,1
kin40k,400,4,0.4248,0.6335,1577.8,1111,1
kin40k,400,4,0.1995,0.3117,2136.4,1112,1
kin40k,400,4,0.6206,0.8120,2542.0,1113,1
kin40k,400,4,0.1313,-0.2441,2575.1,1114,1
kin40k,500,4,0.3844,0.9435,2894.1,1111,1
kin40k,500,4,0.4551,0.5923,2966.1,1112,1
kin40k,500,4,0.3660,0.3605,3044.0,1113,1
kin40k,500,4,0.3316,0.3079,3443.9,1114,1
pumadyn32nm,50,4,0.0590,0.0070,245.9,1111,1
pumadyn32nm,50,4,0.0514,-0.0685,394.3,1112,1
pumadyn32nm,50,4,0.0566,-0.0090,478.8,1113,1
pumadyn32nm,50,4,0.0517,-0.0463,485.4,1114,1
pumadyn32nm,50,4,0.0505,-0.0769,478.0,1115,1
pumadyn32nm,100,4,0.0537,-0.0071,391.8,1111,1
pumadyn32nm,100,4,0.0526,-0.0269,861.3,1112,1
pumadyn32nm,100,4,0.0505,-0.0641,935.3,1113,1
pumadyn32nm,100,4,0.0506,-0.0369,914.9,1114,1
pumadyn32nm,100,4,0.0536,-0.0206,877.7,1115,1
pumadyn32nm,200,4,0.0503,-0.0464,821.3,1111,1
pumadyn32nm,200,4,0.0509,-0.0373,1738.9,1112,1
pumadyn32nm,200,4,0.0520,-0.0262,1892.2,1113,1
pumadyn32nm,200,4,0.0520,-0.0208,1797.8,1114,1
pumadyn32nm,200,4,0.0511,-0.0262,1767.2,1115,1
pumadyn32nm,300,4,0.0528,0.0100,1444.0,1111,1
pumadyn32nm,300,4,0.0513,0.0179,2419.3,1112,1
pumadyn32nm,300,4,0.0495,-0.0446,3097.6,1113,1
pumadyn32nm,300,4,0.0527,-0.0105,2949.1,1114,1
pumadyn32nm,300,4,0.0536,0.0046,2881.7,1115,1
pumadyn32nm,400,4,0.0552,0.0587,2898.7,1111,1
pumadyn32nm,400,4,0.0547,0.0522,3466.4,1112,1
pumadyn32nm,400,4,0.0725,0.1455,4319.1,1113,1
pumadyn32nm,400,4,0.0546,0.0544,4250.1,1114,1
pumadyn32nm,500,4,0.0563,0.0786,4552.8,1111,1
pumadyn32nm,500,4,0.0522,-0.0036,4630.3,1112,1
pumadyn32nm,500,4,0.0534,0.0240,4966.1,1113,1
pumadyn32nm,500,4,0.0572,0.0886,5264.9,1114,1
myelevators,50,4,5.8189,-1.6938,175.8,1111,1
myelevators,50,4,2.0225,-3.3972,296.9,1112,1
myelevators,50,4,3.2698,-2.7003,372.4,1113,1
myelevators,50,4,3.1204,-2.8669,360.4,1114,1
myelevators,50,4,3.3795,-2.9833,365.5,1115,1
myelevators,100,4,3.2668,-3.0430,307.8,1111,1
myelevators,100,4,1.1918,-3.8858,642.6,1112,1
myelevators,100,4,1.8494,-3.4855,674.7,1113,1
myelevators,100,4,3.4622,-2.7622,679.1,1114,1
myelevators,100,4,3.3252,-2.6760,653.6,1115,1
myelevators,200,4,3.0363,-3.1287,650.7,1111,1
myelevators,200,4,1.7674,-3.4766,1315.7,1112,1
myelevators,200,4,2.7650,-2.8074,1407.0,1113,1
myelevators,200,4,0.2190,-4.4292,1349.6,1114,1
myelevators,200,4,4.0246,-2.7531,1327.0,1115,1
myelevators,300,4,3.2522,-2.5589,1132.6,1111,1
myelevators,300,4,2.8598,-2.9313,1872.0,1112,1
myelevators,300,4,5.6566,-1.7428,2221.9,1113,1
myelevators,300,4,2.8978,-2.9468,2280.8,1114,1
myelevators,300,4,4.4699,-2.2595,2079.1,1115,1
myelevators,400,4,2.9230,-2.9525,2479.3,1111,1
myelevators,400,4,2.4151,-3.0215,2670.7,1112,1
myelevators,400,4,2.8471,-3.0774,2810.5,1113,1
myelevators,400,4,2.6781,-3.1064,3191.6,1114,1
myelevators,500,4,1.5717,-3.5877,3547.5,1111,1
myelevators,500,4,3.1825,-3.0533,3668.7,1112,1
myelevators,500,4,3.3399,-3.1071,3873.0,1113,1
myelevators,500,4,3.2756,-2.9847,3257.4,1114,1
pol,50,4,0.8719,187.4822,274.3,1111,1
pol,50,4,0.6917,24.6609,495.0,1112,1
pol,50,4,0.5167,11.5942,491.3,1113,1
pol,50,4,1.6017,142.0618,553.9,1114,1
pol,50,4,1.1828,15.2236,558.2,1115,1
pol,100,4,0.2084,4.0324,481.3,1111,1
pol,100,4,0.2188,7.7884,983.4,1112,1
pol,100,4,1.2117,3.9574,899.8,1113,0
pol,100,4,0.3753,7.1994,989.3,1114,1
pol,100,4,0.2783,1910707.2404,1010.0,1115,1
pol,200,4,0.3414,5.9757,988.4,1111,1
pol,200,4,1.9574,30.9415,1993.4,1112,1
pol,200,4,0.1238,625430904049027121152.0000,2248.9,1113,1
pol,200,4,0.3003,6.2282,2098.3,1114,1
pol,200,4,0.1695,6.1551,2012.3,1115,1
pol,300,4,0.7499,5.6879,1702.9,1111,1
pol,300,4,0.1723,9.5386,2798.4,1112,1
pol,300,4,0.1771,3.6824,3280.4,1113,1
pol,300,4,1.0335,70.3336,3412.0,1114,1
pol,400,4,1.1403,82.6507,3848.9,1111,1
pol,400,4,0.5207,2215199334.3433,3922.4,1112,1
pol,400,4,0.1329,31482612.2283,4105.8,1113,1
pol,400,4,0.4448,204.9958,4739.2,1114,1
pol,500,4,0.1105,16.3240,5219.1,1111,1
