dataset,Nu,K,smse,nlpd,objective,training(s),seed,valid
kin40k,500,3,0.3467,0.4536,0.00,3762.4,1112,1
kin40k,500,3,0.2697,0.3812,0.00,3561.2,1113,1
kin40k,500,3,0.2472,0.1381,0.00,4402.4,1114,1
kin40k,500,3,0.4116,2.1691,0.00,3569.9,1115,1
kin40k,500,3,0.2080,0.1212,0.00,4212.6,1116,1
kin40k,750,2,0.1502,-0.2285,0.00,7546.9,1112,1
kin40k,750,2,0.1101,-0.2748,0.00,5525.8,1113,1
kin40k,750,2,0.1470,-0.2721,0.00,5224.8,1114,1
kin40k,750,2,0.1246,-0.0503,0.00,5319.1,1115,1
kin40k,750,2,0.1288,-0.0408,0.00,5138.3,1116,1
pumadyn32nm,500,3,0.0476,-0.0666,0.00,6363.0,1112,1
pumadyn32nm,500,3,0.0530,0.0054,0.00,5708.5,1113,1
pumadyn32nm,500,3,0.0522,-0.0209,0.00,7471.2,1114,1
pumadyn32nm,500,3,0.0501,-0.0625,0.00,5648.9,1115,1
pumadyn32nm,500,3,0.0507,-0.0039,0.00,5293.6,1116,1
pumadyn32nm,750,2,0.0447,-0.1541,0.00,11511.6,1112,1
pumadyn32nm,750,2,0.0500,-0.0655,0.00,8384.0,1113,1
pumadyn32nm,750,2,0.0489,-0.0362,0.00,7859.1,1114,1
pumadyn32nm,750,2,0.0482,-0.0731,0.00,7946.6,1115,1
pumadyn32nm,750,2,0.0506,-0.0576,0.00,7702.8,1116,1
myelevators,500,3,1.0655,-4.0497,0.00,5433.7,1112,1
myelevators,500,3,1.7802,-3.4541,0.00,4339.5,1113,1
myelevators,500,3,1.7370,-3.4853,0.00,5400.7,1114,1
myelevators,500,3,1.7624,-3.4714,0.00,4433.4,1115,1
myelevators,500,3,0.1791,-4.5715,0.00,4028.7,1116,1
myelevators,750,2,0.5721,-4.1472,0.00,7760.6,1112,1
myelevators,750,2,0.5875,-4.1313,0.00,6540.4,1113,1
myelevators,750,2,0.5418,-4.1791,0.00,6241.7,1114,1
myelevators,750,2,0.5837,-4.1388,0.00,6714.1,1115,1
myelevators,750,2,0.1529,-4.6206,0.00,6046.5,1116,1
pol,500,3,1.0356,12.9363,0.00,7690.2,1112,1
pol,500,3,0.3679,211.4275,0.00,6355.2,1113,1
pol,500,3,0.5002,554.2927,0.00,6026.9,1114,1
pol,500,3,0.5609,303.4124,0.00,6069.7,1115,1
pol,500,3,0.1499,4.6405,0.00,5897.9,1116,1
pol,750,2,1.4898,5676154.8790,0.00,9337.2,1112,1
pol,750,2,1.5548,78125781704.0575,0.00,9494.8,1113,1
pol,750,2,0.0275,258.0345,0.00,9156.8,1114,1
pol,750,2,0.0286,1978084640968632576.0000,0.00,10956.0,1115,1
pol,750,2,0.0379,5.0269,0.00,8635.3,1116,1
