dataset,Nu,K,smse,nlpd,objective,training(s),seed,valid
kin40k,50,1,0.1074,0.2132,2911.00,188.7,1111,1
kin40k,50,1,0.1209,0.2410,3136.70,209.8,1112,1
kin40k,50,1,0.1179,0.2407,3099.21,201.1,1113,1
kin40k,50,1,0.1352,0.2763,3448.68,213.1,1114,1
kin40k,50,1,0.1234,0.2579,3245.50,151.3,1115,1
kin40k,50,4,0.1217,0.2299,3158.25,32.6,1111,1
kin40k,50,4,0.1051,0.1533,2300.37,86.5,1112,1
kin40k,50,4,0.1117,0.1811,2820.45,84.6,1113,1
kin40k,50,4,0.1234,0.2472,3350.18,32.0,1114,1
kin40k,100,1,0.0842,-0.0187,939.13,347.6,1111,1
kin40k,100,1,0.0854,0.0019,1025.87,402.7,1112,1
kin40k,100,1,0.0840,-0.0258,793.80,387.9,1113,1
kin40k,100,1,0.0815,-0.0432,708.03,409.5,1114,1
kin40k,100,1,0.0891,-0.0039,1018.51,399.3,1115,1
kin40k,100,4,0.0892,0.0166,1192.63,92.1,1111,1
kin40k,100,4,0.0880,-0.0106,1112.12,112.0,1112,1
kin40k,100,4,0.0990,0.0838,1808.68,91.1,1113,1
kin40k,100,4,0.0913,0.0254,1227.98,77.2,1114,1
kin40k,200,1,0.0752,-0.2383,-1124.09,703.4,1111,1
kin40k,200,1,0.0667,-0.2588,-1222.32,845.0,1112,1
kin40k,200,1,0.0652,-0.2649,-1263.37,789.5,1113,1
kin40k,200,1,0.0698,-0.2582,-1213.33,636.3,1114,1
kin40k,200,1,0.0657,-0.2615,-1223.03,621.2,1115,1
kin40k,200,4,0.0800,-0.0885,642.25,95.1,1111,1
kin40k,200,4,0.0704,-0.2655,-1349.46,416.3,1112,1
kin40k,200,4,0.0707,-0.1964,-428.76,164.6,1113,1
kin40k,200,4,0.0660,-0.2331,-837.48,129.2,1114,1
kin40k,300,1,0.0565,-0.4139,-2588.14,1180.5,1111,1
kin40k,300,1,0.0599,-0.4074,-2540.85,1210.7,1112,1
kin40k,300,1,0.0598,-0.4057,-2567.06,1290.2,1113,1
kin40k,300,1,0.0615,-0.3971,-2493.20,1032.3,1114,1
kin40k,300,1,0.0601,-0.3987,-2475.68,799.7,1115,1
kin40k,300,4,0.0690,-0.2704,-1169.40,334.4,1111,1
kin40k,300,4,0.0616,-0.3417,-1629.65,559.9,1112,1
kin40k,300,4,0.0659,-0.4494,-2683.44,574.1,1113,1
kin40k,300,4,0.0691,-0.3174,-1804.63,379.3,1114,1
kin40k,400,1,0.0562,-0.5115,-3492.07,1628.8,1111,1
kin40k,400,1,0.0545,-0.5158,-3526.05,1735.3,1112,1
kin40k,400,1,0.0549,-0.5139,-3496.47,1809.2,1113,1
kin40k,400,1,0.0572,-0.5111,-3475.21,1449.9,1114,1
kin40k,400,4,0.0616,-0.4435,-2503.76,861.5,1111,1
kin40k,400,4,0.0575,-0.3813,-1667.71,354.2,1112,1
kin40k,400,4,0.0563,-0.5124,-3087.20,780.9,1113,1
kin40k,400,4,0.0583,-0.5013,-2990.63,514.1,1114,1
kin40k,500,1,0.0552,-0.5972,-4307.20,2092.5,1111,1
kin40k,500,1,0.0553,-0.5971,-4273.56,2329.0,1112,1
kin40k,500,1,0.0555,-0.5925,-4270.09,2386.3,1113,1
kin40k,500,1,0.0555,-0.5903,-4264.44,1875.7,1114,1
kin40k,500,4,0.0640,-0.5110,-2867.85,844.7,1111,1
kin40k,500,4,0.0451,-0.5628,-3484.49,1075.3,1112,1
kin40k,500,4,0.0541,-0.5939,-3907.91,1682.5,1113,1
kin40k,500,4,0.0535,-0.4090,-1866.38,254.1,1114,1
pumadyn32nm,50,1,0.0442,-0.1502,-1312.22,342.2,1111,1
pumadyn32nm,50,1,0.0442,-0.1477,-1285.38,417.6,1112,1
pumadyn32nm,50,1,0.0445,-0.1439,-1255.79,376.9,1113,1
pumadyn32nm,50,1,0.0458,-0.1381,-1198.31,411.5,1114,1
pumadyn32nm,50,1,0.0468,-0.1256,-1159.34,274.2,1115,1
pumadyn32nm,50,4,0.4899,0.7082,5422.29,95.9,1111,1
pumadyn32nm,50,4,0.7884,0.7268,8103.46,94.5,1112,0
pumadyn32nm,50,4,0.0561,-0.0415,-579.18,245.5,1113,1
pumadyn32nm,50,4,0.0554,-0.0610,-455.06,115.9,1114,1
pumadyn32nm,100,1,0.0447,-0.1280,-1468.88,623.5,1111,1
pumadyn32nm,100,1,0.0442,-0.1411,-1487.49,720.3,1112,1
pumadyn32nm,100,1,0.0445,-0.1388,-1405.50,707.4,1113,1
pumadyn32nm,100,1,0.0443,-0.1420,-1460.48,689.5,1114,1
pumadyn32nm,100,1,0.0443,-0.1347,-1475.98,727.8,1115,1
pumadyn32nm,100,4,0.0482,-0.0803,-999.30,346.7,1111,1
pumadyn32nm,100,4,0.5356,0.7872,5481.61,122.8,1112,1
pumadyn32nm,100,4,0.4999,0.7335,5167.60,152.5,1113,1
pumadyn32nm,100,4,0.2895,0.3560,2573.06,166.3,1114,1
pumadyn32nm,200,1,0.0458,-0.1076,-1601.24,1234.9,1111,1
pumadyn32nm,200,1,0.0449,-0.1252,-1556.87,1418.3,1112,1
pumadyn32nm,200,1,0.0445,-0.1331,-1509.85,1378.4,1113,1
pumadyn32nm,200,1,0.0444,-0.1350,-1499.16,1068.0,1114,1
pumadyn32nm,200,1,0.0450,-0.1105,-1543.21,1243.3,1115,1
pumadyn32nm,200,4,0.8013,0.3808,8014.48,415.8,1111,0
pumadyn32nm,200,4,0.0498,-0.0777,-542.41,567.7,1112,1
pumadyn32nm,200,4,0.5587,0.8092,6044.98,502.3,1113,1
pumadyn32nm,200,4,0.7844,1.0945,7848.86,262.8,1114,1
pumadyn32nm,300,1,0.0442,-0.1389,-1417.41,1854.7,1111,1
pumadyn32nm,300,1,0.0458,-0.1028,-1622.45,1923.0,1112,1
pumadyn32nm,300,1,0.0460,-0.1009,-1641.34,2074.5,1113,1
pumadyn32nm,300,1,0.0458,-0.1071,-1630.08,1640.8,1114,1
pumadyn32nm,300,1,0.0453,-0.1160,-1548.91,1236.9,1115,1
pumadyn32nm,300,4,0.5327,0.6899,4586.85,661.9,1111,1
