dataset,Nu,K,smse,nlpd,objective,training(s),seed,valid
kin40k,500,3,0.0534,-0.5120,-3043.41,1443.8,1112,1
kin40k,500,3,0.0597,-0.5246,-3152.85,1104.4,1113,1
kin40k,500,3,0.0539,-0.6385,-4298.38,1664.9,1114,1
kin40k,500,3,0.0551,-0.5266,-3001.04,701.4,1115,1
kin40k,500,3,0.0628,-0.5742,-3804.86,1613.1,1116,1
kin40k,750,2,0.0457,-0.5955,-3848.98,1176.6,1112,1
kin40k,750,2,0.0505,-0.5515,-3542.64,842.4,1113,1
kin40k,750,2,0.0517,-0.7515,-5323.41,2444.4,1114,1
kin40k,750,2,0.0408,-0.4354,-2056.64,483.2,1115,1
kin40k,750,2,0.0501,-0.6020,-3912.00,1172.2,1116,1
pumadyn32nm,500,3,0.0510,-0.0392,-903.06,2059.6,1112,1
pumadyn32nm,500,3,0.7129,0.5247,7000.62,1216.2,1113,0
pumadyn32nm,500,3,0.3673,0.4943,3194.70,1007.3,1114,1
pumadyn32nm,500,3,0.0531,-0.0060,-916.17,2322.8,1115,1
pumadyn32nm,500,3,0.3849,0.4555,4001.75,1012.9,1116,1
pumadyn32nm,750,2,0.0531,-0.0144,-1122.21,2402.2,1112,1
pumadyn32nm,750,2,0.0473,-0.0969,-982.21,2260.8,1113,1
pumadyn32nm,750,2,0.0511,-0.0462,-1011.30,2555.9,1114,1
pumadyn32nm,750,2,0.0501,-0.0575,-1139.05,2944.4,1115,1
pumadyn32nm,750,2,0.0447,-0.1576,-805.47,2585.6,1116,1
myelevators,500,3,0.1497,-4.4705,-38598.50,606.5,1112,1
myelevators,500,3,0.1474,-4.4772,-38587.69,776.8,1113,1
myelevators,500,3,0.1591,-4.4667,-38310.79,171.1,1114,1
myelevators,500,3,0.1468,-4.4765,-38666.24,1139.5,1115,1
myelevators,500,3,0.1556,-4.4679,-38455.86,222.6,1116,1
myelevators,750,2,0.1429,-4.4850,-38577.54,326.4,1112,1
myelevators,750,2,0.1460,-4.4851,-38680.86,320.7,1113,1
myelevators,750,2,0.1432,-4.4867,-38747.46,597.9,1114,1
myelevators,750,2,0.1430,-4.4854,-38799.62,687.3,1115,1
myelevators,750,2,0.1470,-4.4802,-38708.67,467.5,1116,1
pol,500,3,0.0193,2.4939,25506.01,3712.7,1112,1
pol,500,3,0.0177,2.3526,24208.06,7309.3,1113,1
pol,500,3,0.0211,2.8941,24742.57,1811.0,1114,1
pol,500,3,0.0270,2.2584,22661.82,6254.7,1115,1
pol,500,3,0.0303,2.2589,22829.44,6222.4,1116,1
pol,750,2,0.0253,2.2956,23899.63,9003.0,1112,1
pol,750,2,0.0272,2.2086,22383.42,8874.5,1113,1
pol,750,2,0.0284,1.9914,20646.28,8783.8,1114,1
pol,750,2,0.0186,2.4410,24966.65,4250.6,1115,1
pol,750,2,0.0232,2.5372,24279.61,10808.2,1116,1
