dataset,Nu,K,smse,nlpd,objective,training(s),seed,valid
kin40k,750,2,0.0517,-0.7337,-5295.86,8461.2,1112,1
kin40k,750,2,0.0454,-0.7623,-5673.94,12694.3,1113,1
kin40k,750,2,0.0646,-0.7819,-5634.71,8984.3,1115,1
kin40k,750,2,0.0501,-0.7247,-5147.40,12611.2,1116,1
pumadyn32nm,750,2,0.0683,0.0687,31.43,16891.3,1112,1
pumadyn32nm,750,2,0.0683,0.0687,31.43,16891.3,1113,1
pumadyn32nm,750,2,0.0511,0.0020,-1479.56,16489.8,1115,1
pumadyn32nm,750,2,0.0448,-0.1561,-817.19,20974.8,1116,1
pol,750,2,0.0184,2.4552,25686.57,23873.9,1112,1
pol,750,2,0.0184,2.4552,25686.57,23873.9,1113,1
pol,750,2,0.0171,2.3270,23896.76,22075.9,1115,1
pol,750,2,0.0171,2.3270,23896.76,22075.9,1116,1
