dataset,Nu,K,smse,nlpd,objective,training(s),seed,valid
kin40k,750,2,0.0612,-0.2274,-7084.56,2727.3,1112,1
kin40k,750,2,0.0926,0.0554,-6657.28,2858.6,1113,1
kin40k,750,2,0.0791,-0.2244,-6360.11,2916.9,1114,1
kin40k,750,2,0.0826,0.1765,-7317.36,2837.1,1115,1
pumadyn32nm,750,2,0.0700,0.7782,-3157.74,4169.8,1112,1
pumadyn32nm,750,2,0.1287,0.9881,-1290.06,4294.4,1113,1
pumadyn32nm,750,2,0.0748,1.0059,-3368.61,4106.2,1114,1
pumadyn32nm,750,2,0.0885,1.3429,-2606.79,4486.8,1115,1
pol,750,2,0.0279,3.6662,23127.78,4914.9,1112,1
pol,750,2,0.0244,10.3822,20315.94,5232.3,1113,1
pol,750,2,0.0404,4.5421,22237.05,4939.5,1114,1
pol,750,2,0.0352,6.6361,21080.40,5022.6,1115,1
